股票代碼,股票名稱,現價,10日前,10日%,20日前,20日%,10日均,10日均-5%,狀態,低於10日,距10日均%,RSI,今日高,今日低,成交量,均量,量比,52週高,52週低,本益比,市值,前1日,前1日%,前2日,前2日%,前3日,前3日%,前4日,前4日%,前5日,前5日%,前6日,前6日%,前7日,前7日%,更新時間
IONQ,IonQ,57.85,72.07,-19.73,57.47,0.66,62.33,59.21,觸發加碼,Alert,-7.19,43.1,60.23,56.16,24658300,32012351,0.77,82.09,26.59,148.33,21.6B,57.99,2.4,56.63,-0.11,56.69,-9.73,62.8,10.6,56.78,-13.52,65.66,-3.77,68.23,-4.44,2026-06-15T12:20:39
AMD,AMD,511.57,516.1,-0.88,449.7,13.76,498.2,473.29,觀察中,OBS,2.68,57.2,521.71,494.0,31553100,39245817,0.8,542.52,116.16,169.39,834.2B,488.45,7.97,452.4,-4.86,475.51,-3.02,490.33,5.14,466.38,-10.86,523.2,-3.56,542.52,4.02,2026-06-15T12:20:39
OKLO,Oklo,57.49,66.88,-14.04,67.21,-14.46,61.38,58.31,觸發加碼,Alert,-6.34,38.8,58.58,55.88,8129000,14656197,0.55,174.14,45.58,,10.0B,57.86,7.11,54.02,-4.36,56.48,-4.17,58.94,1.46,58.09,-11.16,65.39,0.28,65.21,-11.24,2026-06-15T12:20:39
SNOW,Snowflake,232.78,255.55,-8.91,150.76,54.4,245.82,233.53,觀察中,Alert,-5.3,67.6,242.8,230.44,7702300,9617645,0.8,280.16,121.11,,80.7B,240.39,0.2,239.9,0.1,239.66,-0.33,240.45,0.92,238.26,-2.42,244.18,1.2,241.28,-7.61,2026-06-15T12:20:39
VRT,Vertiv,302.87,315.71,-4.07,376.23,-19.5,308.56,293.13,觀察中,OBS,-1.84,38.7,305.19,295.1,4948400,5879000,0.84,376.23,110.83,76.29,116.3B,297.88,6.01,280.98,-2.95,289.52,-3.68,300.57,0.02,300.51,-7.23,323.92,-2.27,331.44,-0.91,2026-06-15T12:20:39
NBIS,Nebius Group,232.36,231.09,0.55,221.15,5.07,236.87,225.03,觀察中,OBS,-1.9,55.6,243.59,223.5,17131300,17811365,0.96,264.51,44.3,90.06,59.0B,222.24,4.98,211.69,-3.83,220.12,0.97,218.0,-4.31,227.81,-12.27,259.67,3.17,251.68,-3.42,2026-06-15T12:20:39
UNH,UnitedHealth,408.52,380.31,7.42,399.09,2.36,397.18,377.32,觀察中,OBS,2.86,63.9,409.89,404.81,7264400,7119271,1.02,413.0,232.89,30.76,371.0B,405.55,-0.47,407.46,-1.34,413.0,1.58,406.57,1.78,399.47,0.76,396.47,5.16,377.0,-0.24,2026-06-15T12:20:39
NFLX,Netflix,80.34,86.02,-6.6,86.94,-7.59,82.21,78.1,觀察中,OBS,-2.27,14.6,82.0,79.28,35309700,34172182,1.03,133.91,75.86,25.92,338.3B,81.27,-0.89,82.0,0.72,81.41,-1.49,82.64,0.56,82.18,0.76,81.56,0.05,81.52,-2.17,2026-06-15T12:20:39
CRWV,CoreWeave,100.55,109.53,-8.2,114.21,-11.96,105.62,100.34,觀察中,OBS,-4.8,45.9,105.55,97.22,36215900,29162217,1.24,183.58,64.55,,54.9B,95.74,0.14,95.61,-2.88,98.45,-3.83,102.37,1.97,100.39,-7.07,108.03,-2.61,110.93,-6.99,2026-06-15T12:20:39
MRVL,Marvell Technology,279.7,205.0,36.44,182.58,53.19,276.05,262.25,觀察中,OBS,1.32,64.7,287.98,267.31,42047300,41878620,1.0,316.43,62.19,96.12,244.7B,280.71,11.13,252.59,-5.35,266.88,-7.61,288.85,9.63,263.47,-16.74,316.43,4.9,301.65,3.73,2026-06-15T12:20:39
2330.TW,台積電,2375.0,2348.73,1.12,2234.04,6.31,2330.13,2213.62,觀察中,OBS,1.93,61.6,2375.0,2345.0,27846817,35159178,0.79,2418.55,1006.58,32.23,61.59T,2310.0,2.67,2250.0,0.04,2249.0,-2.17,2298.87,0.44,2288.89,-2.96,2358.71,-0.84,2378.65,-1.65,2026-06-15T12:20:39
3711.TW,日月光控股,590.0,601.0,-1.83,510.0,15.69,575.0,546.25,觀察中,OBS,2.61,46.5,623.0,590.0,22424808,25359466,0.88,642.0,139.24,57.79,2.59T,590.0,8.46,544.0,0.93,539.0,-5.27,569.0,5.37,540.0,-6.41,577.0,-2.7,593.0,-4.05,2026-06-15T12:20:39
6285.TW,啟碁,274.5,314.0,-12.58,286.0,-4.02,284.7,270.46,觸發加碼,OBS,-3.58,36.8,280.5,264.5,18948137,25776696,0.74,319.0,96.0,43.85,132.8B,270.0,-0.92,272.5,0.93,270.0,-5.76,286.5,4.75,273.5,-6.34,292.0,-1.35,296.0,-3.27,2026-06-15T12:20:39
